Sampling Rate : 128 Hz,Duration : 10 Minutes
Time,PPG
5.8203125,-32347.83984
5.828125,-32357.01953
5.8359375,-32361.79883
5.84375,-32361.13867
5.8515625,-32356.23242
5.859375,-32351.00781
5.8671875,-32350.0625
5.875,-32355.1875
5.8828125,-32365.34961
5.890625,-32376.14648
5.8984375,-32382.82031
5.90625,-32383.28516
5.9140625,-32378.64453
5.921875,-32372.75195
5.9296875,-32369.45117
5.9375,-32370.20508
5.9453125,-32373.89648
5.953125,-32377.25391
5.9609375,-32377.45898
5.96875,-32373.23242
5.9765625,-32364.21289
5.984375,-32351.47656
5.9921875,-32335.18945
6,-32315.49023
6.0078125,-32293.62109
6.015625,-32271.44922
6.0234375,-32252.72852
6.03125,-32240.29102
6.0390625,-32234.70508
6.046875,-32233.74609
6.0546875,-32232.60547
6.0625,-32226.61719
6.0703125,-32213.39258
6.078125,-32193.88086
6.0859375,-32172.35938
6.09375,-32153.76758
6.1015625,-32142.38867
6.109375,-32140.21289
6.1171875,-32146.1582
6.125,-32158.2207
6.1328125,-32172.98438
6.140625,-32187.32617
6.1484375,-32199.13477
6.15625,-32206.78906
6.1640625,-32210.82617
6.171875,-32212.67773
6.1796875,-32214.51563
6.1875,-32218.38086
6.1953125,-32224.41211
6.203125,-32230.97656
6.2109375,-32235.27148
6.21875,-32235.08984
6.2265625,-32231.13867
6.234375,-32226.6543
6.2421875,-32226.62305
6.25,-32234.75
6.2578125,-32250.33789
6.265625,-32269.2793
6.2734375,-32284.61328
6.28125,-32290.6582
6.2890625,-32285.97266
6.296875,-32273.05664
6.3046875,-32257.85742
6.3125,-32245.74414
6.3203125,-32239.73242
6.328125,-32240.17773
6.3359375,-32245.51367
6.34375,-32254.14844
6.3515625,-32265.02344
6.359375,-32277.0293
6.3671875,-32288.89063
6.375,-32298.22461
6.3828125,-32303.21875
6.390625,-32303.67773
6.3984375,-32300.96484
6.40625,-32298.67969
6.4140625,-32299.31055
6.421875,-32303.20313
6.4296875,-32308.3418
6.4375,-32310.54297
6.4453125,-32306.95898
6.453125,-32296.75195
6.4609375,-32281.99609
6.46875,-32266.51563
6.4765625,-32253.55664
6.484375,-32244.41602
6.4921875,-32237.86133
6.5,-32230.71875
6.5078125,-32220.31836
6.515625,-32205.13086
6.5234375,-32186.11133
6.53125,-32165.96875
6.5390625,-32146.94531
6.546875,-32130.92383
6.5546875,-32117.2832
6.5625,-32103.99219
6.5703125,-32089.02148
6.578125,-32070.73047
6.5859375,-32049.85547
6.59375,-32028.3457
6.6015625,-32008.98633
